,Gender,Military,Ethnicity
277,Female,N,Hispanic/Latino
278,Female,N,Black or African American
279,Female,N,White
280,Male,Y,White
281,Male,Y,White
282,Female,N,White
283,Female,N,White
284,Male,N,White
285,Female,N,White
286,Female,N,White
287,Female,N,Asian
288,Female,N,White
289,Female,N,Asian
290,Male,N,White
291,Female,N,Hispanic/Latino
292,Female,N,Hispanic/Latino
293,Female,N,White
294,Male,Y,White
295,Male,N,Hispanic/Latino
296,Female,N,White
297,Female,N,White
298,Female,N,Black or African American
299,Female,N,White
300,Female,N,White
301,Female,N,American Indian/Alaska Native
302,Female,N,White
303,Female,N,White
304,Male,N,White
305,Female,N,White
306,Female,N,White
307,Female,N,White
308,Female,Y,White
309,Male,N,White
310,Male,N,Black or African American
311,Male,Y,White
312,Female,N,White
313,Female,N,White
314,Female,N,Hispanic/Latino
315,Female,N,White
316,Female,N,White
317,Female,N,White
318,Male,N,White
319,Female,N,Non Resident Alien
320,Male,N,Black or African American
321,Female,N,White
322,Male,Y,Hispanic/Latino
323,Female,N,White
324,Male,Y,Asian
325,Female,N,Asian
326,Female,N,White
327,Female,N,White
328,Female,N,Hispanic/Latino
329,Female,Y,Hispanic/Latino
330,Male,N,White
331,Female,Y,White
332,Female,N,Two or More Races
333,Female,N,Hispanic/Latino
334,Female,N,White
335,Female,N,White
336,Female,N,White
337,Male,N,White
338,Male,N,Asian
339,Female,N,Black or African American
340,Female,N,Hispanic/Latino
341,Female,N,Two or More Races
342,Female,N,White
343,Female,N,White
344,Male,N,White
345,Female,N,Asian
346,Female,N,White
347,Female,N,Black or African American
348,Female,N,Black or African American
349,Female,N,Hispanic/Latino
350,Male,Y,White
351,Male,N,White
352,Female,N,White
353,Male,N,White
354,Female,N,Black or African American
355,Female,N,American Indian/Alaska Native
356,Female,N,American Indian/Alaska Native
357,Male,N,Hispanic/Latino
358,Male,N,Hispanic/Latino
359,Female,N,White
360,Female,N,Non Resident Alien
361,Female,N,White
362,Female,N,White
363,Female,N,White
